Numero d expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripcio dia setmana,Dia setmana,Descripcio tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripcio torn,Descripcio causa vianant,Numero de morts,Numero de lesionats lleus,Numero de lesionats greus,Numero de vehicles implicats,CoordenadaUTMY,CoordenadaUTMX,Long,Lat
2015S008666,2,Eixample,8,l Antiga Esquerra de l Eixample,23403,Aribau,0111 0111,Dimarts,Dm,Laboral,2015,11,Novembre,17,11,Mati,No es causa del  vianant,0,1,0,2,4582690.77,429525.96,2.155915555,41.390815134
2015S009941,2,Eixample,8,l Antiga Esquerra de l Eixample,349706,Comte d Urgell,0068 0068,Dimarts,Dm,Laboral,2015,12,Desembre,29,18,Tarda,Desobeir el senyal del semafor,0,1,0,1,4581775.11,429710.58,2.158229916,41.382584248
2015S002098,2,Eixample,8,l Antiga Esquerra de l Eixample,349706,Comte d Urgell,0068 0068,Dijous,Dj,Laboral,2015,3,Març,19,18,Tarda,No es causa del  vianant,0,3,0,2,4581775.11,429710.58,2.158229916,41.382584248
2015S008844,2,Eixample,8,l Antiga Esquerra de l Eixample,349706,Comte d Urgell,0094 0094,Dilluns,Dl,Laboral,2015,11,Novembre,23,16,Tarda,No es causa del  vianant,0,1,0,2,4581881.10,429607.73,2.156987660,41.383529869
2015S009198,2,Eixample,7,la Dreta de l Eixample,31300,Bailen,0133 0133,Dijous,Dj,Laboral,2015,12,Desembre,3,15,Tarda,No es causa del  vianant,0,1,0,2,4583525.22,430580.47,2.168431856,41.398422518
2015S005707,2,Eixample,7,la Dreta de l Eixample,225500,Napols,0225 0225,Divendres,Dv,Laboral,2015,7,Juliol,24,11,Mati,No es causa del  vianant,0,1,0,2,4583713.18,430948.09,2.172807687,41.400147086
2015S008085,2,Eixample,7,la Dreta de l Eixample,225500,Napols,0225 0225,Dimarts,Dm,Laboral,2015,10,Octubre,27,19,Tarda,No es causa del  vianant,0,1,0,2,4583713.18,430948.09,2.172807687,41.400147086
2015S002830,2,Eixample,7,la Dreta de l Eixample,225500,Napols,0225 0225,Dijous,Dj,Laboral,2015,4,Abril,16,13,Mati,No es causa del  vianant,0,1,0,2,4583713.18,430948.09,2.172807687,41.400147086
2015S005765,2,Eixample,7,la Dreta de l Eixample,225500,Napols,0225 0225,Diumenge,Dg,Laboral,2015,7,Juliol,26,18,Tarda,No es causa del  vianant,0,2,0,2,4583713.18,430948.09,2.172807687,41.400147086
2015S006551,2,Eixample,7,la Dreta de l Eixample,225500,Napols,0225 0225,Dilluns,Dl,Laboral,2015,8,Agost,31,18,Tarda,No es causa del  vianant,0,1,0,2,4583713.18,430948.09,2.172807687,41.400147086
